scope,model,feature,model_mix_share,daily_requests,projected_requests,projected_input_tokens,projected_cached_input_tokens,projected_output_tokens,projected_cost_usd,projected_cost_kes,daily_budget_usd,budget_utilization,budget_status,monthly_budget_usd,monthly_budget_utilization,monthly_budget_status,pricing_verified_on,usd_to_kes,exchange_rate_date,exchange_rate_published_on,exchange_rate_source,exchange_rate_document
model_feature,openai/gpt-4o-mini,clinical_routing,0.75,90,2700,1026000,0,88650,0.20709000,26.82,,,,,,,2026-07-29,129.5000,2026-07-28,2026-07-29,https://www.centralbank.go.ke/forex/,https://www.centralbank.go.ke/uploads/cbk_indicative_rates/508352374_Daily%20KES%20Exchange%20Rates.pdf
model_feature,openai/gpt-4o,clinical_routing,0.25,30,900,342000,0,23700,1.09200000,141.41,,,,,,,2026-07-29,129.5000,2026-07-28,2026-07-29,https://www.centralbank.go.ke/forex/,https://www.centralbank.go.ke/uploads/cbk_indicative_rates/508352374_Daily%20KES%20Exchange%20Rates.pdf
model_feature,openai/gpt-4o-mini,insurance_verification,0.75,75,2250,870300,0,99450,0.19021500,24.63,,,,,,,2026-07-29,129.5000,2026-07-28,2026-07-29,https://www.centralbank.go.ke/forex/,https://www.centralbank.go.ke/uploads/cbk_indicative_rates/508352374_Daily%20KES%20Exchange%20Rates.pdf
model_feature,openai/gpt-4o,insurance_verification,0.25,25,750,290100,0,24750,0.97275000,125.97,,,,,,,2026-07-29,129.5000,2026-07-28,2026-07-29,https://www.centralbank.go.ke/forex/,https://www.centralbank.go.ke/uploads/cbk_indicative_rates/508352374_Daily%20KES%20Exchange%20Rates.pdf
model_feature,openai/gpt-4o-mini,medication_safety,0.75,60,1800,692100,0,67500,0.14431500,18.69,,,,,,,2026-07-29,129.5000,2026-07-28,2026-07-29,https://www.centralbank.go.ke/forex/,https://www.centralbank.go.ke/uploads/cbk_indicative_rates/508352374_Daily%20KES%20Exchange%20Rates.pdf
model_feature,openai/gpt-4o,medication_safety,0.25,20,600,230700,0,21300,0.78975000,102.27,,,,,,,2026-07-29,129.5000,2026-07-28,2026-07-29,https://www.centralbank.go.ke/forex/,https://www.centralbank.go.ke/uploads/cbk_indicative_rates/508352374_Daily%20KES%20Exchange%20Rates.pdf
overall,75% gpt-4o-mini / 25% gpt-4o,all,1.00,300,9000,3451200,0,325350,3.39612000,439.80,0.12,0.9434,WARNING,3.60,0.9434,WARNING,2026-07-29,129.5000,2026-07-28,2026-07-29,https://www.centralbank.go.ke/forex/,https://www.centralbank.go.ke/uploads/cbk_indicative_rates/508352374_Daily%20KES%20Exchange%20Rates.pdf
