model,input_usd_per_million,cached_input_usd_per_million,output_usd_per_million,average_cost_per_request_usd,average_cost_per_request_kes,all_quality_gates_passed,failed_gates,pricing_verified_on,pricing_source,usd_to_kes,exchange_rate_date,exchange_rate_source
openai/gpt-4o,2.50,1.25,10.00,0.00126867,0.1643,False,grounding_compliance_rate,2026-07-29,https://openrouter.ai/openai/gpt-4o,129.5000,2026-07-29,https://www.centralbank.go.ke/forex/
openai/gpt-4o-mini,0.15,0.075,0.60,0.00008024,0.0104,True,none,2026-07-29,https://openrouter.ai/openai/gpt-4o-mini,129.5000,2026-07-29,https://www.centralbank.go.ke/forex/
